cluster_id,cluster_name,size
0,trading_opportunity|short_sale|buyout_bid|potential_sale|share_sale,454
1,expansion_opportunities|expansion_efforts|expansion_opportunity|expansion_initiatives|commercial_expansion,271
2,investment_commitments|existing_investment|business_investment|investment_realization|investment,403
3,share_buyback|stock_buyback|share_buybacksuspension|share_buybacks|buyback_and_dividend_increase,160
4,earnings_announcements|earnings_announcement|upcoming_earnings_announcement|earnings_update|related_earnings_announcement,333
5,growth_prospects|market_growth|growth_proposition|growth_expansion|growth_strategies_and_guidance,344
6,licensing_agreement|license_agreement|licensing_deal|licensing_agreement_uncertainty|licensing_agreements,226
7,labor_relations|labor_negotiation|labor_negotiations|labor_issues|labor_agreement,242
8,product_concern|product_introduction|product_launch|product_discussion|product_enhancement,324
9,competition_concern|competitor_struggle|competition_threat|business_competition|competition_concerns,326
10,sustainability_initiative|environmental_initiative_support|sustainability_initiatives|environmental_initiative|government_funding_initiative,371
11,market_warning|warning_announcement|profit_warning|market_risk_warning|financial_warning,121
12,business_restructuring|business_revamp|strategic_restructuring|company_reinvention|business_evolution,496
13,debt_financing|debt_concern|debt_offering|debt_issue|debt_funding,415
14,product_update|operational_update|product_updates|management_update|software_update,268
15,public_controversy|political_controversy|controversy|political_outcome|scandal_response,402
16,cloud_market_expansion|cloud_market_growth|cloud_platform_expansion|cloud_market_outlook|cloud_business_growth,99
17,dividend_concerns|dividend_outlook|dividend_payout|dividend_growth|dividend_consideration,263
18,economic_forecast_update|economic_forecast|recession_outlook|recession_outlook_update|economic_outlook,330
19,analyst_outlook|analyst_update|analyst_concerns|analyst_adjustments|analyst_reports,126
20,market_dynamics|market_evolution|market_development|market_challenge|market_trends_and_positioning,348
21,recovery_and_turnaround|recovery_opportunity|potential_recovery|recovery_trend|recovery_outlook,226
22,ipo_deal|ipo_management|ipo|ipo_handling|ipo_involvement,169
23,index_impact|index_changes|index_adjustment|index_change|index_inclusion,118
24,rating_improvement|ratings_upgrade|rating_update|rating_upgrade|analyst_rating_upgrade,151
25,revenue_outlook|revenue_growth_update|revenue_projections|revenue_growth_outlook|revenue_projection,332
26,merger_deal|merger_acquisition|merger_and_acquisition|merger_attempt|merger_bid,283
27,business_halt|potential_loss_of_business|operations_suspension|business_setback|facility_closure,452
28,business_realignment|restructuring_move|business_strategy_shift|strategic_shift|company_strategy_shift,309
29,cyber_security_breach|cybersecurity_vulnerability|cybersecurity_breach|cybersecurity_threat|cyber_security_threat,155
30,market_decline|profit_decline|demand_decline|sales_decline|business_decline,213
31,fraud_scandal|anti_trust_investigation|fraud_allegations|corruption_investigation|antitrust_investigation,204
32,investment_management|investment_strategy|investment_critique|investment_selection|investment_strategies,340
33,trade_tensions|trade_disruption|trade_conflicts|trade_disputes|trade_concerns,266
34,job_cuts_and_expense_reduction|layoffs_and_cost_cutting|layoffs_and_cost_cuts|cost_cutting_and_job_cuts|job_cuts_and_streamlining,163
35,health_safety_outbreak|pandemic_response|health_safety_crisis|outbreak_and_recalls|health_scare_impact,298
36,price_increase|cost_increase|potential_price_increase|price_increase_announcement|price_estimate_increase,296
37,acquisition_discussion|acquisition_in_industry|acquisition_and_outlook|acquisition_and_strategy|acquisition_decision,394
38,production_concerns|production_challenges|production_change|product_production|production_adjustments,141
39,industry_adjustment|industry_discussion|industry_dynamics|industry_development|industry_interest,258
40,partnership_concerns|partnership_and_business_outlook|existing_partnership|partnership_development|partnership_complication,458
41,banking_concerns|banking_sector_concerns|banking_sector_update|banking_crisis_update|banking_sector_turmoil,214
42,competitive_announcement|upcoming_announcement|conference_announcement|company_announcement|sales_announcement,517
43,tax_policy_impact|tax_policy_change|tax_policy_outlook|rate_hikes|tax_reform,270
44,tech_innovation|technology_innovation|technology_implementation|technology_deployment|technology_provision,408
45,stock_performance|stock_analysis|stock_reaction|stock_evaluation|stockvaluation,346
46,shareholder_sale|equity_stake_sale|investor_stake_sale|ownership_stake_sale|major_shareholder_sale,381
47,regulatory_discussion|regulatory_concern|regulatory_consideration|regulatory_controversy|regulatory_scrutiny,349
48,credit_rating|credit_rating_concerns|credit_rating_update|credit_quality_update|credit_scoring,157
49,valuation_concern|valuation_analysis|valuation_discussion|valuation_concerns|valuation_questioned,132
50,executive_change|executive_changes|executive_leadership|executive_hire|executive_hiring_and_firing,302
51,earnings_outlook|earnings_concern|earnings_and_outlook|earnings_concerns|earnings_and_market_outlook,438
52,etf_discussion|etf_overview|etf_involvement|etf_analysis|etf_details,136
53,supply_chain_issue|supply_chain_issues|supply_chain_deal|supply_chain_concerns|supply_chain,113
54,litigation_issue|litigation_settlement|litigation|lawsuit_settlement|legal_settlement,330
55,business_performance_comparison|competitive_performance_comparison|industry_performance_comparison|comparative_performance|market_performance_comparison,263
56,new_venture_launch|headquarters_launch|new_facility_opening|store_launch|new_concept_launch,250
57,options_trading_update|options_trading|option_trading|options_trade|options_trading_opportunity,131
58,ai_sector_development|ai_initiative|ai_development|ai_integration_outlook|ai_industry_development,207
59,market_rise|market_fluctuation|bullish_trading_activity|market_trend_shift|market_movement,424
